,Date,BTC High,BTC Low,BTC Close,BTC Volume,Gold Close,Gold High,Gold Low,Gold Volume,Spy Close,Spy High,Spy Low,Spy Volume,R Close,R High,R Low,VIX High,VIX Low,VIX Close
123,2022-05-05,39845.51,39516.92,39588.84,3974.92229,1883.0,1917.6,1879.6,28690.0,592.34,592.34,590.18,480.0,3.035,3.108,2.925,33.2,25.78,31.2
124,2022-05-06,36550.0,35833.01,36371.94,9524.98864,1890.2,1900.8,1872.4,52580.0,582.5,582.5,579.5,790.0,3.142,3.146,3.039,35.34,29.83,30.19
125,2022-05-07,35961.05,35722.24,35921.6,4312.23187,,,,,,,,,,,,,,
126,2022-05-08,34952.5,34318.46,34596.55,9199.93117,,,,,,,,,,,,,,
127,2022-05-09,33838.42,33340.29,33523.27,8406.15726,1865.9,1891.8,1858.6,71720.0,582.01,582.01,578.68,340.0,3.034,3.203,3.028,35.48,31.9,34.75
128,2022-05-10,32658.99,30600.0,31609.78,32240.66067,1848.4,1871.6,1841.9,90250.0,574.3,575.55,571.7,510.0,2.989,3.072,2.942,34.84,32.24,32.99
129,2022-05-11,31888.85,30200.0,30614.99,29516.39137,1861.0,1864.5,1838.0,60050.0,576.05,576.71,574.8,140.0,2.925,3.076,2.907,34.39,30.69,32.56
130,2022-05-12,28643.93,26700.0,28193.4,74526.071838,1831.6,1865.8,1827.2,71420.0,568.7,569.99,566.66,450.0,2.855,2.911,2.816,34.76,31.7,31.77
131,2022-05-13,31083.37,30154.24,30171.13,17616.1303,1814.8,1834.2,1804.0,21400.0,574.95,576.5,573.0,590.0,2.928,2.944,2.852,31.2,28.78,28.87
132,2022-05-14,29611.7,29200.0,29431.59,5347.18637,,,,,,,,,,,,,,
133,2022-05-15,30061.54,29480.0,29825.99,5255.52638,,,,,,,,,,,,,,
134,2022-05-16,30473.31,29258.0,29593.89,13261.38074,1820.4,1832.4,1792.0,27770.0,579.73,580.97,578.16,340.0,2.886,2.953,2.853,30.23,27.36,27.47
135,2022-05-17,30578.14,30244.52,30412.06,5343.32806,1825.4,1840.9,1817.8,27000.0,574.0,579.73,573.2,330.0,2.995,2.997,2.875,27.17,25.51,26.1
136,2022-05-18,30090.51,29682.97,29910.25,7855.17223,1822.4,1829.3,1811.7,40540.0,579.5,581.66,579.3,2360.0,2.884,3.015,2.873,31.49,26.21,30.96
137,2022-05-19,29432.8,29029.88,29192.13,7326.04646,1847.8,1854.5,1814.9,38860.0,560.23,579.38,559.0,1230.0,2.837,2.922,2.772,33.11,29.06,29.35
138,2022-05-20,30362.16,29850.51,30256.74,7701.6848,1848.4,1854.0,1837.3,42700.0,558.0,559.35,554.67,220.0,2.788,2.88,2.774,32.91,28.06,29.43
139,2022-05-21,29566.0,29205.23,29423.18,3339.76647,,,,,,,,,,,,,,
140,2022-05-22,29457.89,29255.11,29441.78,2306.43831,,,,,,,,,,,,,,
141,2022-05-23,30670.51,30101.07,30457.01,7568.22645,1853.9,1870.4,1849.7,62660.0,553.4,557.58,553.4,930.0,2.861,2.873,2.797,30.39,28.29,28.48
142,2022-05-24,29439.26,29241.61,29404.55,5764.22285,1871.4,1875.0,1853.9,76580.0,554.6,557.12,554.6,800.0,2.754,2.864,2.718,31.07,29.04,29.45
143,2022-05-25,30223.74,29666.67,29701.46,7905.03946,1852.5,1872.7,1845.0,99600.0,556.95,557.56,555.58,390.0,2.751,2.776,2.708,30.23,28.16,28.37
144,2022-05-26,29876.72,29337.77,29733.7,7138.02023,1853.9,1859.0,1842.5,92090.0,560.96,561.6,558.99,200.0,2.742,2.797,2.706,28.46,27.11,27.5
145,2022-05-27,29214.0,28643.89,28992.99,21666.53837,1865.0,1873.4,1859.8,1640.0,567.0,570.9,567.0,310.0,2.743,2.769,2.709,27.54,25.57,25.72
146,2022-05-28,28949.39,28754.4,28885.72,5425.50965,,,,,,,,,,,,,,
147,2022-05-29,29060.32,28914.96,29008.35,2073.83703,,,,,,,,,,,,,,
148,2022-05-30,30928.71,30236.55,30636.12,15267.9168,1848.4,1867.9,1837.6,201800.0,582.77,591.61,575.22,300.0,2.812,2.815,2.812,26.81,26.08,26.54
149,2022-05-31,31800.67,31434.66,31573.77,6910.36728,1856.3,1875.3,1847.1,2930.0,579.32,589.0,578.7,450.0,2.849,2.884,2.799,28.35,25.94,26.19
150,2022-06-01,31670.0,31371.45,31482.43,6574.53904,1856.7,1860.7,1838.6,1110.0,576.0,578.3,576.0,260.0,2.911,2.951,2.833,27.73,25.38,25.69
151,2022-06-02,30123.35,29650.93,29968.26,6794.72045,1879.4,1882.1,1856.9,1240.0,571.99,577.0,570.0,380.0,2.913,2.944,2.889,26.5,24.33,24.72
152,2022-06-03,30561.32,30282.29,30443.74,5085.36997,1858.3,1886.4,1858.0,840.0,575.92,575.96,574.74,100.0,2.941,2.986,2.906,25.96,24.76,24.79
153,2022-06-04,29734.49,29546.78,29700.96,3043.03475,,,,,,,,,,,,,,
154,2022-06-05,29819.85,29645.67,29645.67,2129.49304,,,,,,,,,,,,,,
155,2022-06-06,31434.75,31148.43,31292.77,9173.23629,1851.9,1869.0,1851.8,290.0,573.5,579.0,570.37,230.0,3.04,3.049,2.933,25.81,24.82,25.07
156,2022-06-07,29632.49,29401.0,29585.12,10285.3628,1860.5,1866.0,1847.1,580.0,570.29,573.5,566.5,2090.0,2.979,3.064,2.957,26.24,23.88,24.02
157,2022-06-08,30686.63,29872.55,30561.77,13310.83642,1865.0,1870.6,1855.4,1850.0,575.26,575.47,574.4,240.0,3.027,3.042,2.983,24.78,23.74,23.96
